date;descripcionEs;descriptionEu;municipalityEs;MunicipalityEu;territory;municipalitycode;latwgs84;lonwgs84
2022/8/24;San Bartolomé;Done Bartolome;Lapuebla de Labarca  ;Lapuebla de Labarca  ;Álava - Araba;33;42,493969;-2,573024
2022/9/12;La Cofradias;Kofradiak;Legutio;Legutiano  ;Álava - Araba;58;42,977822;-2,642724
2022/8/16;San Roque;San Roke;Leza  ;Leza  ;Álava - Araba;34;42,566068;-2,633635
2022/8/16;San Roque;San Roke;Llodio  ;Laudio;Álava - Araba;36;43,143333;-2,962985
2022/8/19;Acción de gracias;Esker onak;Moreda de Alava  ;Moreda de Alava  ;Álava - Araba;39;42,528016;-2,407670
2022/6/2;Fiesta local;Tokiko jaieguna;Navaridas  ;Nabaridas  ;Álava - Araba;41;42,545171;-2,624532
2022/8/24;San Bartolomé;San Bartolome;Okondo  ;Okondo  ;Álava - Araba;42;43,162222;-3,018889
2022/1/22;San Vicente y San Anastasio;Bikendi eta Anastasi Santuak;Oyón/Oion  ;Oyón/Oion  ;Álava - Araba;43;42,506137;-2,436965
2022/5/16;San Isidro Labrador;Done Isidro Nekazaria;Peñacerrada  ;Urizaharra;Álava - Araba;44;42,644095;-2,713374
2022/5/16;San Isidro Labrador;Done Isidro Nekazaria;Ribera Alta  ;Erribera Goitia;Álava - Araba;46;42,807222;-2,917500
2022/8/29;Fiesta local;Tokiko jaieguna;Ribera Baja  ;Erribera Beitia;Álava - Araba;47;42,719678;-2,907609
2022/6/24;San Juan;San Joan;Salvatierra  ;Agurain;Álava - Araba;51;42,852442;-2,389455
2022/9/8;Nuestra Señora Virgen del Valle;Haranako Andra Maria;Samaniego  ;Samaniego  ;Álava - Araba;52;42,569832;-2,680185
2022/11/11;San Millán;Done Milian;San Millán;Donemiliaga;Álava - Araba;53;42,874722;-2,376111
2022/10/3;Fiesta local;Tokiko jaieguna;Urkabustaiz  ;Urkabustaiz  ;Álava - Araba;54;42,971944;-2,922222
2022/5/16;Fiesta local;Tokiko jaieguna;Valdegovía  ;Valdegovía  ;Álava - Araba;55;42,850000;-3,100000
2022/11/30;San Andrés;San Andres;Villabuena de Álava  ;Eskuernaga;Álava - Araba;57;42,548717;-2,665456
2022/8/5;Vírgen Blanca;Andra Mari Zuria;Vitoria-Gasteiz  ;Vitoria-Gasteiz  ;Álava - Araba;59;42,846406;-2,667893
2022/8/19;Nuestra Señora de Bercijana;Berzijanako Andra Maria;Yécora;Ikeora;Álava - Araba;60;42,569303;-2,470064
2022/6/11;Fiesta local;Tokiko jaieguna;Zalduondo  ;Zalduondo  ;Álava - Araba;61;42,885626;-2,347254
2022/8/5;Fiesta local;Tokiko jaieguna;Zambrana  ;Zambrana  ;Álava - Araba;62;42,659981;-2,879353
2022/8/5;Fiesta local;Tokiko jaieguna;Zigoitia  ;Zigoitia  ;Álava - Araba;18;42,968200;-2,718300
2022/9/29;San Miguel;San Miguel;Zuia  ;Zuia  ;Álava - Araba;63;42,981667;-2,844000
