|Catastro|ReferenciaCP|IdCliente|Producto|Fecha|TipoProducto|AltaCliente
230041|001E3902000489UN010A0UN|1,79769313486232E+308|6110125|N06|2020-06-03|Servicio sin cuota|2020-02-23 00:00:00
281700|017 0105900116UN01IZ0UN|017 0105900116|809230|N06|2020-06-03|Servicio principal|2020-05-17 00:00:00
88822|006 4807800023UN05EX0DR|006 4807800023|201527|N04|2020-02-03|Servicio principal|2020-01-31 00:00:00
191422|026 4802004310UN03IZ0UN|026 4802004310|6122824|N06|2020-06-03|Servicio principal|2020-03-12 00:00:00
217750|007 2004507102UNPB030UN|007 2004507102|939716|N06|2020-05-03|Servicio sin cuota|2020-03-24 00:00:00
95315|008 4804400221UN060H0UN|008 4804400221|6107744|N01|2020-03-03|Servicio sin cuota|2020-02-02 00:00:00
239796|012 3101600003UN06IZ0UN|012 3101600003|4203661|N01|2020-05-03|Servicio principal|2020-04-19 00:00:00
310541|030 3120101760IZ070B0UN|030 3120101760|6114755|N06|2020-05-03|Servicio sin cuota|2020-02-21 00:00:00
139026|003 2090200030UN010C0UN|003 2090200030|6113738|N04|2020-05-03|Servicio principal|2020-02-23 00:00:00
47974|004B0105903645UN090B0UN|004B0105903645|6101843|N06|2020-06-03|Servicio principal|2020-01-19 00:00:00
131457|005 2004505206UN040C0UN|005 2004505206|4264330|N06|2020-04-03|Servicio principal|2020-02-16 00:00:00
230435|015 4802009445UN06IZ0UN|015 4802009445|1869094|N06|2020-06-03|Servicio principal|2020-02-26 00:00:00
141715|008 2008101422UN01UN0UN|008 2008101422|6113422|N06|2020-06-03|Servicio principal|2020-02-21 00:00:00
261679|004 2608900766E1040A0UN|004 2608900766|6118959|N06|2020-06-03|Servicio principal|2020-03-07 00:00:00
322953|00513902000487UN040C0UN|513902000487|6151270|N06|2020-06-03|Servicio sin cuota|2020-06-01 00:00:00
70056|013 0105904568UN010B0UN|013 0105904568|6104587|N01|2020-03-03|Servicio sin cuota|2020-01-25 00:00:00
249960|014 4802001910UN05DR0UN|014 4802001910|237721|N06|2020-04-03|Servicio principal|2020-03-27 00:00:00
141037|014 0105904551UNUNUNPOR|014 0105904551|3404695|N01|2020-06-03|Servicio principal|2020-03-07 00:00:00
